en_clean,ar_clean
and salim has an exam tomorrow,وهو سليم عنده مذاكرة عشان عنده امتحان الصبح
she is busy with the play,وهي مشغولة في المسرحية
its okay,طب استني
take it easy,اهدي اهدي
take a breath,نفس
calm down,اهدي
are you in the play,انتي بتمثلي يا نونو؟
im designing the set,انا بعمل ديكور المسرحية
i love dcor,اصل انا بحب الديكور
you love being poor like your mom,فقرية زي امك
whos your lucky focus group,ومين بقي ال السعيد المحظوظ اللي هتجربي فيه ده؟
my favorite,حبايبي
the mummies group,ال
one second,ثانية واحدة كدا
its work,الشغل
first thank you for letting me join the group again,اولا انا عايزة اشكركم ان انتوا رجعتوني المجموعة
i have a great gift for you,انا عندي ليكم هدية فظيعة
a new product straight from dubai,حاجة جديدة كدا جاية من دبي
my brother sent me samples,اخويا باعتلي
its not on the market yet,لسه لسه مبتتبعش هنا خالص
antriwrinkle cream when you use it you no longer need botox,، بس كل اللي جربوه بيقولوا ايه معملوش بوتوكس من ساعتها مش محتاجين
the same effect as botox at onetenth of the price,نفس مفعول البوتوكس بعشر التمن
if you want one let me know ill pass the samples when i drop the kids off,فا اللي عايزة منكم تقولي وانا هعمل حسابها بكرة الصبح وانا بوصل الولاد
bye,باي
they wont reply,ولا هيردوا عليكي
i said three magic words,انا قولت تلات كلمات لا تقاوم
dubai botox gift,دبي، بوتوكس، هدية
i want to tell you something,عايزة اقولك علي حاجة
tell me,قولي
i think tarek zohni is really flirting with me,انا ابتديت احس ان طارق ذهني بي معايا بجد
wait,لا ثانية واحدة بقي
you think or are you sure,حاسة ولا متاكدة؟
it makes a huge difference,لانها تفرق معايا جدا
if youre confident that means hes doing this to get to yous,لانك لو متاكدة ده معناه ان هو بيعمل كل الفيلم ده عشان يشقطك
the project means nothing to him,لا فارق معاه مشروع ولا نيلة
so what do i do,اقوم انا اعمل ايه بقي ساعتها؟
i break the deal with you,اسحب ايدي انا من الشراكة دي
so do you think or are you sure,فانتي حاسة ولا متاكدة؟
are you serious,انتي بجد؟
do you hear yourself,انتي سامعة نفسك بجد؟
what,في ايه؟
i told you my radar is rusty,انا بقولك الرادار بتاعي مصدي
i dont know,مش عارفة
i think im sure,مش عارفة، حاسة، متاكدة، مش
im sorry,حقك عليا، انا اسفة
you think so right,انتي حاسة، صح يا لولو؟
yes,اه
what made you think so,ايه اللي خلاكي حسيتي؟
did he say something,قالك حاجة؟
yes,اه
what,ايه؟
i was wearing an everyday outfit so he said the color looks good on you its your color,هو انا كنت لابسة حاجة عادي يعني فهو قالي اللون ده لايق عليكي
the color looks good on you,اللون ده بتاعك
its your color,اللون ده بتاعك
he said what,قالك ايه؟
its your color,اللون ده بتاعك
thats it its your color,بس؟ اللون ده بتاعك؟
whats wrong with you,جري ايه يا علا؟ جري ايه يا علا؟
i thought he asked you out,انا قولت قالك تعالي نخرج
did he send you a dirty joke,بعتلك نكتة ابيحة؟
did he do that,بعتلك نكتة ابيحة؟
no,لا
did he say something else,قالك حاجة تانية؟
yes,اه
what,ايه؟
he said im a phoenix,قالي اني عنقاء
what,مالك؟
phoenix,عنقاء
do you know,عارفة
a phoenix,عنقاء؟
why,ليه كدا؟
is it something good or bad,هي حاجة حلوة ولا حاجة وحشة؟
im going,انا ماشية يا علا
im leaving,همشي همشي من هنا
good night,تصبحي علي خير
this way to avoid your mom,انا همشي من هنا عشان امك
ive had it,انا ناقصاكوا؟
where to,انتي رايحة فين؟
ill jump,هنط من هنا
ive had it with you,انا زهقت منكوا
why jump,طب وتنطي من هنا ليه؟
use the door,ما الباب اهو
hi zeina,هاي زينة
hi,هاي
good morning,صباح الخير
good morning,صباح النور
hi nadia,هاي، نادية
bye,باي
focus salim,ركز يا سليم
im glad i saw you,كويس اني شوفت حضرتك
i wanted to apologize for my behavior at parents day,كنت عايزة اعتذر عن الموقف السخيف اللي حصل يوم الوالدين
im sorry,انا اسفة بجد
surely zeina told you that were going through a tough divorce,بس اكيد زينة حكت لحضرتك ان بنمر بظروف انفصال يعني
no need to be sorry,مش محتاجة تبرري خالص
i wanted to ask you if im burdening you with zeina,انا اللي كنت عايز اعرف لو كانت زينة متقلة عليكوا اليومين دول
zeina is a burden,مين دي اللي متقلة علينا؟ زينة؟
i can stop her from coming over,علي فكرة انا ممكن اخليها متجيش
no shes like a daughter,ازاي؟ دي بنتي
shes happier with you than with her grandma,بصراحة هي بترتاح عندكوا اكتر من جدتها
no she brings joy and happiness,لا لا دي روح البيت، دي عاملة دوشة وونس
we need her right now especially nadia,لا، ده احنا محتاجينها، محتاجينها اليومين دول ونادية محتاجلها زيادة
please send her over,من فضلك، ابعتها كتير اليومين دول
i wanted to run something by you,انا اصلا كنت عايزة اقترح علي حضرتك
where are they,هما فين؟
why dont we enroll the kids on the school bus,كنت عايزة اقترح علي حضرتك انه نشترك في الباص للولاد
ive started a new job,علشان انا ابتديت شغل جديد
i cant drive them to school anymore,فمش هعرف يعني اوصلهم واوديهم واجيبهم
this is what i do,ما هو ده شغلي بقي
i make organic natural creams 100 egyptian homemade,بقيت بعمل كريمات مية في المية في البيت صناعة مصرية منزلية الصنع
hi ola,هاي يا علا
hi beautiful,هاي يا جميلة
how are you,عاملة ايه؟
are these the samples,دي الكريمات؟
yes,اه
these are the creams,هي دي الكريمات
see dr marwan,شوفت يا دكتور مروان؟
ola is making peace with us by giving us expensive creams straight from dubai,علا بتصالحنا بقي بان هي جايبلنا كريمات غالية جدا لسه واصلة من دبي
yes dubai,اه اه دبي دبي
yes i heard about them,علي فكرة انا سامع عن الكريم ده
it will revolutionize the cosmetics industry,بيقولوا هيعمل ثورة في عالم ال
as if theyre homemade made with love and care,كانه معمول في البيت كدا بعناية وحب
very good,اه، كويس اوي
i have to run to the hospital,يلا انا لازم اطير علي المستشفي
bye,يلا باي
bye,باي باي
show me,وريني بقي
ill show you a lot of things,هوريكم حالا، بصوا بقي هوريكم حاجات
its still unlabeled and still in the trial phase they want to protect their brand,بصوا هو طبعا لسه مش مسمي وكدا، عشان هما بيجربوا مش عايزين الناس تسرق منهم الافكار وكدا
theyve selected a category in egypt they want to take over the market,بس هما اختاروا معينة كدا في مصر عشان يدخلوا بقي بقوة
i told them you were my friends,انا قولتلهم هما صحباتي دول
youre very lucky,يعني هما دول محظوظين محظوظين
all i want from you is to fill out this survey after you try the creams on your face and hands after you try the creams on your faces and hands,بصوا انا كل اللي انا هطلبه منكم ان انتو تملوا الاستطلاع ده بعد ما تجربوا بقي علي وشكم وبتاع، في للايد وفي للوش
