EGY,ENG
‫لو طارق ذهني ده مقتنع أوي كدا‬ ‫ومؤمن بقدراتك وبالمشروع بتاعك ‫هحط كل ثروتي وأشاركك.‬,"If Tarek Zohni believes in you and your project, I'll pitch in with my fortune."
‫إنتي بتتكلمي جد؟‬,Are you serious?
‫أه والله العظيم.‬,I swear to God.
‫بجد؟‬,Really?
‫بس عشان مقتنعة بكلامه هو،‬ ‫مش مؤمنة بقدراتي أنا؟‬,Just because you believe in him and not in me?
‫قدرات إيه يا أم قدرات؟‬,Believe in you?
عايزة ضمانات، عقود، فلوس.‬,"I need guarantees, contracts, and money."
‫قدرات دي تخليهالك إنتي، التضحية‬ ‫والكلام الفارغ بتاعك ده مبيأكلش عيش معايا.‬,Your talk about capabilities and sacrifices doesn't work for me.
‫إنتي مش ضحيتي ياختي عشان جوزك سنين؟‬,You gave up a lot for your husband. 
‫ضحيتي بكل حاجة حتى أنا.‬,You gave up on me.
‫خدتي إيه في الآخر؟ ها؟ ,What did you gain at the end?
خدتي إيه؟ ‬,
‫بومبة. ,Nothing.
الحقي ابنك لايص. الحقي الحقي.‬,Here comes your silly son.
‫يا حبيبي!‬,Darling.
‫سبعة شاي على البوسطة!‬,Seven cups of black tea.
‫أنا آسفة.‬,I'm sorry.
‫لو اتأخرتي تاني مش هتلاقيني. ‬,"Next time, you won't find me."
‫حاضر أنا آسفة،‬‫ بس عشان كان عندي حاجة مع ابني‬‫ وملحقتش أوصله.‬,"Okay, I had to run an errand with my son. He's stuck with me."
‫مش مشكلتي.‬,Not my problem.
هاي، أنا طارق ذهني،‬ أنت مين؟‬,"Hi, I'm Tarek Zohni. And you are?"
‫سليم.‬,Salim
‫إزيك يا سليم؟‬,"How are you, Selim?"
‫سَليم.‬,Salim.
‫سَليم أيوة. ,"Salim, yes."
شوف بقى يا سيدي.‬,Listen here.
‫الميعاد ده ميعاد شغل،‬ ‫مامي مكنش المفروض تجيبك معاها.‬,"This is a business meeting, and you can't be here."
فأنت هتمشي ورانا.,"You'll walk behind us, okay?"
‫معلش خليك ورانا.‬,Stay behind us.
‫عايزك تشوفي اللي حواليكي كويس جدًا.‬,I want to look around you carefully.
بصي على كل المحلات.‬,Check out the shops.
‫كل التفاصيل مهمة.‬,Details are important.
‫عايزها تتحفر في دماغك، ها؟‬,Remember them well.
‫مساء الفل يا راجل يا طيب.‬,"Good evening, sir."
‫يا مساء الجمال،‬ ‫حمد الله على السلامة يا طارق بيه.‬,"Good evening. It's good to have you back, Mr. Tarek."
‫إزيك يا عم سعيد؟‬,"How are you, Mr. Saeed?"
‫يا رب يخليك يا حبيب قلبي.‬,"God bless you, son."
‫السلام عليكم.‬,Hello
‫طبعًا بتسألي نفسك أنا جايبك هنا ليه؟‬,You're wondering why I brought you here?
‫أه شوية.‬,A little
‫عندي سؤال مهم عايزك تجاوبي عليه.‬,I have an important question for you.
‫إيه الفرق بين زباينك وبين زباين عم سعيد؟‬,What separates your clients from Saeed's?
‫مع العلم، عم سعيد أرخص‬ ‫وزباينه مخلصين جدًا له.‬,Knowing that Saeed is cheaper and his clients are loyal.
‫لا، هو الفرق إن أنا…‬,The difference is that ...
‫الفرق طبعًا إن أنا sبعمل الخلطات بطريقة علمية، مدروسة.‬,"The difference is that I, my formulas are based on scientific research."
‫يعني أنا دارسة الpotency‬ ‫بتاعة كل مادة وكل زيت.‬,I've studied the potency of each material and oil.
‫هو عم سعيد…‬,If Mr. ... Saeed?
‫عم سعيد لو زود شوية روح الليمون،‬ ‫لو زود شوية قرفة لو قلل شوية خميرة،‬ ‫ما هي كل الformula هتبوظ كدا.‬ ‫,"The whole formula will be wasted if Mr. Saeed adds more lemon, more cinnamon, and less yeast."
وبعدين ممكن تعمل مفعول عكسي كمان.‬,There's also the reverse effect.
‫ومش كل الستات عندها الوقت‬ ‫إنها تيجي هنا وتقعد تختار الزيوت وتخلط.‬,Not all women have the time to come here to buy and mix oils.
‫كويس جدًا.‬,Very good.
‫وأنا بوفر وقت.‬,I'm saving time.
‫هايل، يبقى زباينك ستات بتقدّر العلم.‬,You're selling to women who like science. 
‫عايزين مواد organic‬ ‫ليهم ولعيالهم.‬,They want organic stuff for them and their kids.
‫مش كدا؟‬,Right?
‫صح، أه.‬,True.
الhomework بتاعك بقى،‬ ‫إنك تعملي مجموعة اختبار.‬,"Now, you have to create a focus group."
‫مش من خالتي وستي وطنطي وعمتي. لا.‬,Don't include the women of your family.
‫تشوفي أكتر مجموعة لا إنتي ليكي فيهم‬ ‫ولا هما ليهم فيكي.‬,Create a group that's not related to you.
‫كويس؟ ,Okay?
دول اللي هناخد برأيهم.‬,We'll survey these women.
‫أعتقد لقيتهم خلاص.‬,I think I found them.
‫الميعاد اللي جاي‬ تكوني خلصتي الhomework.‬,Have that done by our next meeting! 
أوكيه,Okay.
‫وتفكري في اسم الbrand بتاعك. ,Think of a brand name. 
‫اسم يكون قصير كدا يتحفظ بكل اللغات.‬,A short one that's easy to remember in all languages.
‫اسم أول ما الناس تسمعه‬ ‫تحس أنه له خصوصية كدا.‬,A name that has a unique ring to it.
‫خصوصية. اوكي. خصوصية، اوكيه.‬,"A unique ring, okay."
‫إيه؟ ,What? 
في إيه؟‬,What's wrong?
‫حلو اللون ده عليكي أوي.‬,I like this color on you.
‫أوي. no doubt ده لونك.‬,It's definitely your color.
‫بتفكريني بالphoenix.,You remind me of a phoenix.
‫بالمين؟‬,Of what?
‫طائر العنقاء.‬,A phoenix
‫اللي بيموت ويحيا من الرماد بتاعه.‬,It dies and rises again from its ashes.
‫أه المرة الجاية تعرفيني‬ بالsuppliers بتوعك.‬,"Next time, introduce me to your suppliers."
‫ الsuppliers؟‬,Supplies?
‫أه لازم نعرف مصدر المواد الخام بتاعتك.‬,"Yes, where you get your raw materials."
أوكيه،see you next time ,"Okay, see you next time."
‫سليم، it was very nice to meet you.‬,"Salim, it was very nice meeting you."
‫سليم. بص عملت في نفسك إيه.‬,"Salim, look what you did to yourself."
‫عملت إيه؟‬,What have you done?
‫خير؟ مين اللي هيجي لنا دلوقت؟‬,Who's that at this time?
‫ماما، أنا أنا اللي هفتح. ,"I'll get it, Mom."
دي نسرين.‬,It's Nesrine.
‫أنا اللي هفتح.‬,
‫نسرين مين؟‬,Who's Nesrine?
‫نسرين.‬,Nesrine?
‫صاحبتك بتاعة زمان؟‬,Your old friend?
‫أيوة.‬,Yes.
‫أم دم تقيل اللي مبقبلهاش. ي,That bore. 
ا بااي!‬,Oh Gosh.
‫ششش. تسمعك.‬,She'll hear you.
‫ده كفاية نكشتها يا شيخة دي شبه المجانين.‬,She looks crazy with her puffy hair.
‫يا ساتر!‬,God saves us!
‫أهلًا يا روحي. ,"Hello, dear."
أهلًا. إزيك؟‬,How are you?
‫أهلًا يا طنط. إزاي حضرتك؟‬,"How are you, Auntie?"
‫إزيك يا روح طنط؟‬,How are you?
‫الحمد لله.‬,I'm okay.
‫قمر، شايفة شعرها حلو أوي؟‬,See her beautiful hair?
ميرسي,Thank you.
‫إيه الأخبار؟‬,How are you?
‫الحمد لله. إيه؟‬,Good. What?
‫إزيك يا حبيبتي؟‬,"How are you, dear?"
‫الحمد لله.‬,I'm good.
‫الحمد… sorry، معلش‬ ‫إن إحنا بلبس البيت عشان الوقت ليل يعني.‬,"Good! Sorry, we're not dressed up. It's nighttime, you know."
‫نسرين بقت شريكتي في المشروع يا ماما.‬,Nesrine is my partner now.
‫بجد؟‬,Really?
أيوة.‬,Yes.
ألف مبروك يا حبيبتي. ,Congratulations. 
ربنا يوفقكوا.‬,Good luck.
‫نورتي يا حبيبتي أهلًا بيكي. أهلًا أهلًا.‬,We're happy to have you.
‫أهلًا طنط.‬,"Hi, Auntie."
‫تعالي.‬,Come here.
‫أنا نادية.‬,I'm Nadia.
‫أهلًا نادية. بس مفيش طنط،‬ ‫طنط لما ينططوكي.‬,"Hi, Nadia, but not Auntie. Don't call me that?"
‫لحقتي تخلفي الشحطة دي إمتى؟ ,When did you have this big girl? 
اسمي سو.‬,I'm Sue.
‫وعشان تبقي فاهمة بقى أنا ‬‫أcool منك ومن اللي خلفوكي ‫وخاصةً هشام.‬,"Just so you know, I'm cooler than you and your parents, especially Hisham."
‫أنا اسمي إيه؟‬,What's my name?
‫سو.‬,Sue
‫سو!‬,Sue
البيت ده كان ناقصه ضحك‬ ‫وفرفشة والله العظيم.‬,This house needs laughter.
‫البيت ده محتاج راجل يلمه.‬,This house needs a man.
‫أنا.‬,I'm here.
‫وده بقى ليمو إنتي عارفاه.‬,You already know Lemo.
‫إزيك يا سِليم؟‬,"Hey you, Selim."
‫سَليم.‬,Salim
‫سَليم.‬,Salim
‫سَليم. إزيك يا سَليم؟‬ ‫,"How are you, Salim? "
سَليم. ,Salim!
طب عايزاني أساعدك في إيه‬؟ ,How can I help? 
‫جيباني على ملا وشي ليه؟‬,You brought me all the way to here.
‫عايزين نلاقي اسم للمشروع ده.‬,We need a name for the project.
‫نادية قولي اقتراحاتك كدا.‬,"Give us some names, Nadia."
‫في نفرتوم.‬,There's Nefertem.
‫مالك؟ ,What? 
مين؟‬,Who?
‫نفرتوم. نفرتوم.‬,Nefertem. Nefertem.
‫ده إله فرعوني كان بيرجع الأرواح للحياة‬ ‫لما بيستنشقوا الزهور.‬ ,An ancient Egyptian god who brought the dead to life by smelling a lotus. 
زي ما إحنا عايزين نعمل بالظبط.‬,That is exactly what we'll be doing.
‫بالظبط.‬,Yes.
‫وإحنا يوم ما نعمل مشروع‬ ‫نسميه على اسم إله راجل؟‬,We give our first business a man's name?
‫ليه يا علا راجل؟ ليه؟‬,Why a man's name?
‫صح.‬,True.
‫طيب ندور على اسم آلهة ستات.‬,Look for the names of goddesses. 
‫بس أنا دلوقتي حالًا أنا مش فاضية. ,"Right now, I don't have time for this."
‫دلوقتي لازم أعمل batch ‫كبير لface cream علشان بكرة الfocus group.,I have to prepare a big batch of face cream for the focus group.
‫وهو سليم عنده مذاكرة‬ ‫عشان عنده امتحان الصبح.,And Salim has an exam tomorrow.
‫وهي مشغولة في المسرحية,She is busy with the play.
‫طب استني. ,It's okay. 
اهدي اهدي! ‬,Take it easy. 
‫نفس. ,Take a breath. 
اهدي. ,Calm down.
شاطرة، برافو. اهدي بقى.‬,
‫إنتي بتمثلي يا نونو؟‬,Are you in the play?
‫أنا بعمل ديكور المسرحية.‬,I'm designing the set.
‫أصل أنا بحب الديكور.‬,I love décor.
‫فقرية زي أمك.‬,"You love being poor, like your mom."
‫ومين بقى الfocus group‬ السعيد المحظوظ اللي هتجربي فيه ده؟‬,Who's your lucky focus group?
‫حبايبي. ,My favorite. 
الmummies group.‬,The Mummies Group
‫ثانية واحدة كدا.‬,One second.
‫الشغل.‬,It's work.
‫أولًا أنا عايزة أشكركم‬ ‫إن إنتوا رجعتوني المجموعة.‬,"First, thank you for letting me join the group again."
‫أنا عندي ليكم هدية فظيعة.‬,I have a great gift for you.
‫حاجة جديدة كدا جاية من دبي.‬," A new product, straight from Dubai"
‫أخويا باعتلي samples.‬,My brother sent me samples.
‫لسه لسه مبتتبعش هنا خالص.‬,It's not on the market yet.
anti-wrinkle cream،‬ ‫بس كل اللي جربوه بيقولوا إيه ‫معملوش بوتوكس من ساعتها مش محتاجين.,"Antri-wrinkle cream. When you use it, you no longer need Botox."
‫نفس مفعول البوتوكس بعُشر التمن.‬,The same effect as Botox at one-tenth of the price.
‫فا اللي عايزة منكم تقولي‬ ‫وأنا هعمل حسابها بكرة الصبح‬ ‫وأنا بوصل الولاد.‬,"If you want one, let me know. I'll pass the samples when I drop the kids off."
باي,Bye
‫ولا هيردوا عليكي.‬,They won't reply.
‫أنا قولت تلات كلمات لا تُقاوم.‬,I said three magic words.
‫دبي، بوتوكس، هدية.‬,"Dubai, Botox, gift."
‫عايزة أقولك على حاجة.‬,I want to tell you something.
‫قولي.‬,Tell me.
‫أنا ابتديت أحس إن طارق ذهني‬ بيflirt معايا بجد.‬,I think Tarek Zohni is really flirting with me.
‫لا ثانية واحدة بقى.‬,Wait!
‫حاسة ولا متأكدة؟ ,You think? Or are you sure?
